Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1961","1961","kg","443086266.23999995","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1962","1962","kg","350457045.11999995","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1963","1963","kg","345491386.55999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1964","1964","kg","337704307.2","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1965","1965","kg","340053528.96","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1966","1966","kg","338909297.76","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1967","1967","kg","343325178.71999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1968","1968","kg","344782457.28","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1969","1969","kg","350023109.76","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1970","1970","kg","347291987.03999996","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1971","1971","kg","346229013.59999996","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1972","1972","kg","355898266.55999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1973","1973","kg","366810248.15999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1974","1974","kg","356802403.67999995","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1975","1975","kg","355410719.99999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1976","1976","kg","340799039.99999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1977","1977","kg","348788159.99999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1978","1978","kg","356567039.99999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1979","1979","kg","350364959.99999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1980","1980","kg","350364959.99999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1981","1981","kg","354990239.99999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1982","1982","kg","346160159.99999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1983","1983","kg","352887839.99999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1984","1984","kg","360351359.99999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1985","1985","kg","348157439.99999994","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1986","1986","kg","342375839.99999994","Fc","Calculated data"
