id,measure_a,measure_b,measure_c,measure_d,description,c_stocks_20year,annual_c_seq_tha_20year,c_stocks_35year,annual_c_seq_tha_35year,c_stocks_82year,annual_c_seq_tha_82year
0,bl00,NA,NA,NA,Baseline scenario/NA/NA/NA,56.42956809240556,0,56.90457645537488,0,58.7296903873942,0
1,mm01,NA,NA,NA,Reduced till/NA/NA/NA,57.525209979173944,0.054782094338419185,58.14520319417955,0.03544647825156204,60.34997261653089,0.019759539379715748
2,mm02,NA,NA,NA,Zero till/NA/NA/NA,63.07062507333177,0.33205284904631044,63.730384572458945,0.1950230890595447,66.1799548428626,0.09085688360327317
3,mm03,NA,NA,NA,Intermittent reduced till/NA/NA/NA,56.73801836666948,0.01542251371319594,57.52057770940438,0.017600035829414246,59.46618440980936,0.00898163441969705
4,mm04,NA,NA,NA,Intermittent zero till/NA/NA/NA,58.71203660449522,0.11412342560448288,59.34792823853371,0.06981005094739519,60.945709970128206,0.027024629057731783
5,mm05,NA,NA,NA,Crop residue retention/NA/NA/NA,59.37048549052493,0.14704586990596838,60.90237203343486,0.11422273080171368,65.7254723311845,0.08531441394866227
6,mm06,NA,NA,NA,Cover cropping without legume/NA/NA/NA,56.97044169581939,0.02704368017069143,57.64704039896464,0.02121325553113605,60.03768395509515,0.015951141069523746
7,mm07,NA,NA,NA,Cover cropping with legume/NA/NA/NA,57.752573349811385,0.06615026287029124,58.710080868146306,0.05158584036489791,61.892486276413095,0.038570681573401155
8,mm08,NA,NA,NA,Companion cropping with clover/NA/NA/NA,57.150104422660334,0.03602681651273869,57.885246127212795,0.028019133481083307,60.43677869437079,0.02081815008508033
9,mm01,mm05,NA,NA,Reduced till/Crop residue retention/NA/NA,60.913657384236245,0.22420446459153426,62.653072173113145,0.16424273479252186,68.03254179229177,0.1134494073767996
10,mm01,mm06,NA,NA,Reduced till/Cover cropping without legume/NA/NA,58.15959922721262,0.08650155674035283,58.98032413697723,0.05930707661721003,61.76644407200119,0.03703358151959747
11,mm01,mm07,NA,NA,Reduced till/Cover cropping with legume/NA/NA,59.04199615568548,0.13062140316399606,60.14896768040845,0.0926968921438162,63.75252403139092,0.061254068829228285
12,mm01,mm08,NA,NA,Reduced till/Companion cropping with clover/NA/NA,58.30295414326207,0.0936693025428255,59.17734109908923,0.06493613267755295,62.09980520672319,0.04109896121132914
13,mm02,mm05,NA,NA,Zero till/Crop residue retention/NA/NA,68.19490094778928,0.5882666427691859,70.04848200964892,0.37554015869354407,75.76924320368465,0.20779942458890796
14,mm02,mm06,NA,NA,Zero till/Cover cropping without legume/NA/NA,64.03304679197214,0.38017393497832896,64.9037067963664,0.2285465811711861,67.9495027500057,0.11243673612940862
15,mm02,mm07,NA,NA,Zero till/Cover cropping with legume/NA/NA,65.3582989132077,0.4464365410401072,66.53289452048577,0.2750948018603111,70.41316496190812,0.14248139725016978
16,mm02,mm08,NA,NA,Zero till/Companion cropping with clover/NA/NA,64.2487735563179,0.390960273195617,65.18102715976065,0.2364700201253076,68.36841752610692,0.11754545291113078
17,mm03,mm05,NA,NA,Intermittent reduced till/Crop residue retention/NA/NA,59.855080676799936,0.17127562921971878,61.80743494142672,0.1400816710300526,66.82654788923608,0.09874216465660832
18,mm03,mm06,NA,NA,Intermittent reduced till/Cover cropping without legume/NA/NA,57.32651887758487,0.04484753925896534,58.32095945534331,0.040468085713383825,60.83480545239387,0.0256721349390204
19,mm03,mm07,NA,NA,Intermittent reduced till/Cover cropping with legume/NA/NA,58.144248979561226,0.08573404435778328,59.43953348673671,0.07242734375319507,62.75162838370919,0.049048024345304746
20,mm03,mm08,NA,NA,Intermittent reduced till/Companion cropping with clover/NA/NA,57.46665215403952,0.0518542030816981,58.51824383339745,0.04610478222921626,61.17285630370262,0.02979470629644419
21,mm04,mm05,NA,NA,Intermittent zero till/Crop residue retention/NA/NA,62.45943322042302,0.3014932564008731,64.21975732529688,0.2090051677120572,68.76966964171328,0.1224387713941351
22,mm04,mm06,NA,NA,Intermittent zero till/Cover cropping without legume/NA/NA,59.42384777883352,0.14971398432139793,60.26200835269708,0.09592662563777717,62.40605483710503,0.04483371280135161
23,mm04,mm07,NA,NA,Intermittent zero till/Cover cropping with legume/NA/NA,60.40535825826284,0.19878950829286382,61.530526280484025,0.13216999500311846,64.4392745033326,0.0696290745846146
24,mm04,mm08,NA,NA,Intermittent zero till/Companion cropping with clover/NA/NA,59.59322231671714,0.15818271121557892,60.489764337112405,0.102433939478215,62.772000050787796,0.04929645930967799
25,mm05,mm06,NA,NA,Crop residue retention/Cover cropping without legume/NA/NA,60.02478621026465,0.17976090589295451,61.79896887676523,0.1398397834682957,67.30325934984688,0.10455571905430101
26,mm05,mm07,NA,NA,Crop residue retention/Cover cropping with legume/NA/NA,61.027336596146085,0.22988842518702626,63.16159156304809,0.1787718602192346,69.68219784826124,0.1335671641569151
27,mm05,mm08,NA,NA,Crop residue retention/Companion cropping with clover/NA/NA,60.08833831524325,0.18293851114188442,61.879398812397,0.14213778162920343,67.42607703673045,0.10605349572361278
28,mm06,mm08,NA,NA,Cover cropping without legume/Companion cropping with clover/NA/NA,57.69086418154346,0.06306480445689502,58.62778647456251,0.04923457197678951,61.744949110235495,0.036771447839527995
29,mm07,mm08,NA,NA,Cover cropping with legume/Companion cropping with clover/NA/NA,58.47878845181105,0.10246101797027443,59.69877684444069,0.07983429683045164,63.613855668434326,0.05956299123219665
30,mm01,mm05,mm06,NA,Reduced till/Crop residue retention/Cover cropping without legume/NA,61.67897755331623,0.2624704730455335,63.66234896809371,0.19307921464910943,69.74592850246188,0.13434436725692292
31,mm01,mm05,mm07,NA,Reduced till/Crop residue retention/Cover cropping with legume/NA,62.815918356504966,0.31931751320497026,65.16952904114726,0.23614150245063936,72.30886076948187,0.16559963880594716
32,mm01,mm05,mm08,NA,Reduced till/Crop residue retention/Companion cropping with clover/NA,61.688208465985014,0.26293201867897265,63.68094128938077,0.1936104238287397,69.77497798502867,0.13469862923944476
33,mm02,mm05,mm06,NA,Zero till/Crop residue retention/Cover cropping without legume/NA,69.35562193758204,0.6463026922588242,71.46623300021628,0.4160473298526114,77.90999822895415,0.2339061931897555
34,mm02,mm05,mm07,NA,Zero till/Crop residue retention/Cover cropping with legume/NA,71.06403138236874,0.731723164498159,73.567694334517455,0.47608908226121643,81.09024159154882,0.2726896488311539
35,mm02,mm05,mm08,NA,Zero till/Crop residue retention/Companion cropping with clover/NA,69.36719071522646,0.6468811311410448,71.49186694879569,0.4167797283834517,77.94648095049985,0.23435110442811766
36,mm03,mm05,mm06,NA,Intermittent reduced till/Crop residue retention/Cover cropping without legume/NA,60.56389691018339,0.20671644088889138,62.77327456462626,0.1676770888357538,68.47933464729226,0.11889810073046417
