Crop,N_frac,Lignin_frac
alfalfa,0.0238,0.072
barley,0.009,0.046
beans-and-pulses,0.008,0.075
grass,0.0126,0.049
grass-clover-mix,0.0178,0.061
maize,0.0063,0.11
millet,0.007,0.062
n-fixing-forage,0.025,0.072
non-legume-hay,0.0134,0.057
non-n-fixing-forage,0.0134,0.049
oats,0.0073,0.047
peanut,0.016,0.086
potato,0.0169,0.073
rice,0.007,0.125
rye,0.008,0.05
sorghum,0.0065,0.06
soybean,0.008,0.085
spring-wheat,0.007,0.053
tubers,0.0169,0.073
wheat,0.00695,0.053
winter-wheat,0.0069,0.053
